ingredient_id,ingredient_name
7168,thyme
3589,half-and-half
3590,half-and-half cream
7178,tilapia fillet
6156,rolled oat
4623,mayonnaise
5648,potato
1041,canning salt
22,accent seasoning
7705,whipping cream
7194,toasted sesame seed
2587,fennel seed
3610,hamburger bun
2591,feta cheese
4646,meatless sauce
6696,soy sauce
553,black bean
2044,dark beer
7213,tomato
5168,paprika
7729,white chocolate bark
6706,soymilk
1584,cocoa
1589,cocoa powder
6711,spaghetti sauce
6201,round steak
4155,lasagna noodle
5180,parmesan cheese
7229,tomato paste
63,all-purpose flmy
5695,powdered sugar
5185,parsley
7233,tomato sauce
5186,parsley flake
68,allspice
1093,carrot
6219,russet baking potato
590,black pepper
2131,diced tomato
3668,heavy cream
7253,top sirloin steak
3670,heavy whipping cream
1112,cauliflower
4495,macaroni
7258,tortilla
7770,white onion
4189,lean ground beef
3678,herb stuffing
1119,cayenne pepper
7774,white pepper
96,aluminum foil
5217,pastry for single-crust pie
1118,cayenne
1124,celery
5219,pastum
2665,flaked coconut
1132,celery salt
4717,milk
7790,white sugar
3184,garlic
4722,milk chocolate chip
3702,hickory smoke salt
6265,salsa
2683,flmy
6270,salt
3710,hoisin sauce
6273,salt & pepper
6786,sprite
3203,garlic clove
6276,salt and pepper
132,angel hair pastum
4231,lemon
1672,condensed cream of chicken soup
3723,honey
5261,peanut butter
1168,cheddar
3217,garlic powder
1170,cheese
3219,garlic salt
6805,steak seasoning
150,apple
2200,dressing
1689,confectioners' sugar
155,apple cider vinegar
4253,lemon juice
673,boiling water
6819,stewed tomato
2212,dried basil
677,bone-in ham
1699,cooked bacon
4263,lemon pepper seasoning
1707,cooked chicken
1708,cooked chicken breast
7853,whole milk
3248,ginger
5298,pecan
6324,sausage
6142,roasting chicken
7863,whole tomato
3771,hot chili pepper
4284,lemon zest
6335,scallion
4287,"lemon, juice of"
5313,penne
3778,hot coffee
4289,"lemon, zest of"
5825,raisin
5319,pepper
2763,fresh blueberry
715,bread
2765,fresh broccoli
4814,monterey jack cheese
3791,hot mustard
6352,sea salt
4305,lentil
721,bread flmy
1746,cooked rice
3794,hot pepper flake
4308,lettuce
728,breadcrumb
1240,chicken
3800,hot pepper sauce
2780,fresh coarse ground black pepper
6365,seasoned dry bread crumb
4320,light brown sugar
3810,hot sauce
1252,chicken breast
4836,mozzarella
6374,seasoning salt
1254,chicken breast half
3815,hot water
1257,chicken broth
6891,strong coffee
7406,unsweetened cocoa
7407,unsweetened cocoa powder
241,ature marshmallow
5362,picante sauce
1267,chicken drumstick
2809,fresh ginger
6906,sugar
3834,icing sugar
3324,graham cracker crumb
761,broccoli floret
5375,pie crust
2816,fresh ground black pepper
2817,fresh ground pepper
4863,mushroom
1795,coriander
5382,piece
7946,worcestershire sauce
1803,corn
6413,sesame oil
6926,sun-dried tomato
2320,dried oregano
1297,chicken stock
2321,dried oregano leaf
3347,granny smith apple
2324,dried parsley
2325,dried parsley flake
7956,yeast
784,brown gravy mix
7449,vanilla
3865,instant chocolate pudding mix
3355,granulated sugar
2847,fresh mushroom
800,brown sugar
4384,lime juice
288,baby spinach
1316,chile
2856,fresh parsley
7977,yellow mustard
1833,cornstarch
7979,yellow onion
2347,dried red pepper flake
7470,vanilla extract
1326,chili pepper
1329,chili powder
6962,sweet butter
1330,chili sauce
2879,fresh rosemary
4416,linguine
6980,sweet onion
3398,green bean
3399,green bell pepper
840,butter
6473,shortening
328,baking cocoa
1867,cracked black pepper
332,baking powder
5964,red maraschino cherry
6985,sweet pepper
335,baking soda
5966,red onion
2378,dried thyme
339,balsamic vinegar
8019,ziti pastum
8021,zucchini
342,banana
5975,red pepper flake
6487,shrimp
3928,italian cut green bean
3418,green chily
4958,nut
3934,italian plum tomato
5985,red potato
4964,nutmeg
1381,chocolate bark
2404,dry breadcrumb
869,buttermilk
3940,italian seasoning
4969,oat
2410,dry crushed red pepper
4459,locatelli cheese
3435,green maraschino cherry
1388,chocolate chip
1385,chocolate candy
367,barbecue sauce
3440,green pepper
3957,jalapeno pepper
1910,cream cheese
6007,red wine
1909,cream
7033,swiss cheese
6009,red wine vinegar
4987,oil
1917,cream of chicken soup
2430,dry mustard
382,basil
1920,cream of mushroom soup
6016,refried bean
893,cabbage
7550,vegetable broth
4996,old bay seasoning
1925,cream of tartar
7557,vegetable oil
7040,syrup
905,cajun seasoning
393,bay leaf
6029,refrigerated crescent dinner roll
5006,olive oil
7054,table salt
7056,taco cheese
7053,table cream
5010,onion
1938,creamy peanut butter
7060,taco seasoning
912,cake mix
1427,chocolate milk
5519,plum tomato
6551,small white bean
6548,small shell pastum
3484,ground beef
3486,ground black pepper
5024,onion powder
3497,ground cinnamon
3502,ground cumin
437,beef broth
4023,kalamata olive
4024,kale
3512,ground ginger
7612,vermicelli
5566,pork back rib
1982,crushed pineapple
7616,vidalia onion
1986,crushed red pepper flake
2499,egg
7620,vinegar
6085,ricotta cheese
1990,crusty bread
3527,ground nutmeg
5574,pork chop
1480,chopped tomato
6084,rice wine vinegar
3532,ground pepper
3536,ground red pepper
4053,ketchup
2518,elbow macaroni
5591,pork loin chop
469,beef roast
2007,cumin
7642,walnut
4570,maraschino cherry
4574,margarine
5599,pork rib
478,beef sirloin
4062,kidney bean
7141,texas toast thick bread
2534,english cucumber
1511,cinnamon
7655,water
7656,water chestnut
5106,oregano
5112,oreo cookies
7164,thin spaghettus
2045,dark brown sugar
6654,sour cream
